[12603.265s][info][gc,phases   ] GC(2446) Concurrent Process Non-Strong References 16900.371ms
[12603.266s][info][gc,phases   ] GC(2446) Concurrent Reset Relocation Set 0.826ms
[12603.274s][info][gc,phases   ] GC(2446) Concurrent Select Relocation Set 7.795ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-4494) 271.186ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: ce74baf0-416b-688a-f429-6034c521c5af: 13560958: 491) 270.792ms
[12603.276s][info][gc          ] Allocation Stall (consumer-0-C-1) 258.477ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 6da98565-bdef-2a38-3252-09d5836c635d: 12987287: 409) 254.364ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 6da98565-bdef-2a38-3252-09d5836c635d: 12987287: 410) 253.490ms
[12603.276s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 271.063ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-11609) 228.924ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 84e72b68-dcdb-5dca-3a69-eda16fd55857: 11192125: 898) 227.445ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 138e1957-c5bc-1769-bdfc-58699b2bbac5: 14864729: 186) 257.720ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 51626e55-466b-94f9-068d-f6ccfdcbbdaa: 14212743: 23) 224.682ms
[12603.276s][info][gc          ] Allocation Stall (consumer-0-C-1) 220.245ms
[12603.276s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 219.276ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-7223) 264.393ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-1683) 145.321ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: de00808d-b963-c833-3ce7-340ff69c3216: 17265588: 8) 202.805ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-4707) 193.862ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 07f6ab1a-4697-e91a-a334-23d6d5f338d9: 13826138: 778) 138.987ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-7228) 230.795ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-1686) 198.144ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-11628) 260.765ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 802d33a5-a789-387c-b81a-282e18c63595: 14954775: 431) 264.294ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: de00808d-b963-c833-3ce7-340ff69c3216: 17265588: 11) 188.463ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-1691) 175.022ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 52ee7c30-a8ce-df42-f54a-ae9aebd68ecc: 17394268: 11) 227.657ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: a066faf0-d422-c9db-5ea4-095d1f872263: 15351651: 114) 191.042ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-15097) 137.272ms
[12603.276s][info][gc          ] Allocation Stall (consumer-2-C-1) 145.331ms
[12603.277s][info][gc          ] Allocation Stall (consumer-1-3-C-1) 165.176ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-1739) 225.386ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: a6a34e8c-e977-8cb5-e4ec-c1ef46789be1: 17871512: 508) 224.810ms
[12603.277s][info][gc          ] Allocation Stall (consumer-0-C-1) 148.760ms
[12603.276s][info][gc          ] Allocation Stall (AsyncHttpClient-8-8) 221.197ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 06c608ab-9351-aee3-d123-0dee868b1907: 14231347: 124) 148.034ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 3a6d90fc-39d2-d29f-4f1f-2976331a4bf0: 18094728: 81) 157.118ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 40e68e81-3b08-4a63-4ef4-734748182962: 17047998: 21) 269.886ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-4501) 119.205ms
[12603.277s][info][gc          ] Allocation Stall (notifications_consumer-0-C-1) 161.263ms
[12603.277s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-threadnotifications_consumer) 163.556ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-11641) 196.354ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12611) 146.936ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: d32bff49-2926-bccf-62f0-6f1f97ebeb9b: 16532640: 9665632a-afa9-4c41-81f5-593846b11333) 119.093ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: ef10ce19-75d6-a408-795d-19cffbdd06a9: 15539749: 26) 209.307ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 40e68e81-3b08-4a63-4ef4-734748182962: 17047998: 30) 235.879ms
[12603.277s][info][gc          ] Allocation Stall (org.springframework.kafka.KafkaListenerEndpointContainer#40-0-C-1) 150.022ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-2343) 169.354ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: a56b7344-33d9-61d7-b4a1-d5569d281b1c: 15137726: 199) 198.608ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 341e5e7c-fe25-d959-4c35-057eea0f321d: 13724593: 389) 119.464ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 52ee7c30-a8ce-df42-f54a-ae9aebd68ecc: 17394268: 15) 115.739ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 56f740f5-f742-1d4e-76ea-4047e8e916e5: 18094652: 260) 213.338ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 351793e7-9cf1-122e-6cd1-bce525a0f1e7: 17926806: 137) 116.913ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-11599) 207.574ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-4730) 208.845ms
[12603.276s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 212.518ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12422) 193.335ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-11594) 114.849ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: c4efb432-137c-fa63-753a-a705b8149c31: 15296986: 49) 188.476ms
[12603.278s][info][gc          ] Allocation Stall (org.springframework.kafka.KafkaListenerEndpointContainer#70-1-C-1) 119.185ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 8dbc1905-ac33-b481-6a54-7d205f195c77: 15047296: 42) 187.103ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: a066faf0-d422-c9db-5ea4-095d1f872263: 15351651: 112) 183.107ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-11621) 112.177ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: c4b7ce39-7dc8-3925-c1e5-0ab58b786c75: 15700574: ac0dc3fd-bf6b-4e82-993d-012ceafc8608) 183.690ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 707ad62a-440e-8f57-7e21-f4c69f840a36: 11339088: 3590d537-00bd-4b1e-b937-ce7bf5d42435) 115.437ms
[12603.277s][info][gc          ] Allocation Stall (consumer-0-C-1) 180.713ms
[12603.278s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 115.416ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-2685) 111.541ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 8f6113e8-5a05-b1ef-90e7-4732d9cee197: 13063630: 72) 113.770ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 5faad35d-9119-a610-3bff-9cdb8e633e84: 12761772: 453aa320-556c-4577-9c4d-257b1fcecc7c) 182.621ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-2691) 155.703ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-1702) 111.176ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: e0295c41-998f-c014-fc81-9ae432684434: 12442032: 84) 169.278ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 59875e3f-8005-0142-597b-5707ef0a1532: 14389530: 526) 108.660ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 85279dc3-3f97-844b-affb-21ec6a0f2376: 17693478: b46fb11a-bcba-4c4e-ade2-974e3ddf4b06) 107.703ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-10025) 182.010ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12607) 180.840ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 0668706e-244e-056d-e3c1-96c249e18914: 10962664: 241) 227.447ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 84e72b68-dcdb-5dca-3a69-eda16fd55857: 11192125: 897) 227.629ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: e55532ae-9c6c-22cb-a50d-93826dd7207e: 16304619: 208) 107.753ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: de00808d-b963-c833-3ce7-340ff69c3216: 17265588: 5) 203.604ms
[12603.277s][info][gc          ] Allocation Stall (org.springframework.kafka.KafkaListenerEndpointContainer#70-0-C-1) 174.092ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 5684bc4a-b445-3e6c-7db4-c19ae4f13252: 13428528: 355) 173.838ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-1689) 107.354ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 5f71a19e-9d1c-3a40-6055-adb91431f1ee: 13853489: 478) 255.836ms
[12603.276s][info][gc          ] Allocation Stall (org.springframework.kafka.KafkaListenerEndpointContainer#70-2-C-1) 226.344ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 341e5e7c-fe25-d959-4c35-057eea0f321d: 13724593: 401) 107.393ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 2825c94b-b3d2-58af-5a4a-9d765e0a36cb: 15055342: 622) 107.482ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-1640) 170.188ms
[12603.277s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 169.688ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: e2ac2a90-08ad-2438-ce69-ac71b41c48bd: 15554634: 82) 168.460ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 774ad608-d872-eab7-b8a3-fc6c6447e6bf: 18093085: 389) 107.572ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-2695) 131.171ms
[12603.277s][info][gc          ] Allocation Stall (org.springframework.kafka.KafkaListenerEndpointContainer#105-0-C-1) 164.580ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 66386bcc-7d6d-4611-e213-8cdba05f2af1: 17533220: 32) 107.058ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 341e5e7c-fe25-d959-4c35-057eea0f321d: 13724593: 402) 107.657ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 7a4637ce-991d-b57f-d7ae-7b7d8fe0dbc7: 16011236: 492) 107.628ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-10034) 129.382ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: e55532ae-9c6c-22cb-a50d-93826dd7207e: 16304619: 206) 107.706ms
[12603.279s][info][gc          ] Allocation Stall (qtp579590740-12610) 107.357ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-11612) 221.001ms
[12603.277s][info][gc          ] Allocation Stall (consumer-0-C-1) 177.511ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 6ee7a04f-1f38-654a-a324-ec904d1e708a: 17384317: 11) 106.225ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 16eb01e4-5147-18cf-4f8b-0de07ea078bb: 18078530: 64) 105.764ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: f753463f-037c-7e94-3237-03fa3d905ba5: 14010839: 18) 107.855ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-15115) 220.164ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: d1e39e46-2fea-bd92-b123-5c0ad5d964f6: 16904575: c154cde1-268b-4c49-ad3e-dd07dc34c219) 119.489ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 05f241db-b369-b0ac-134c-06d253b750e3: 17919739: aa2a6bfb-9a40-45da-a7a6-bb99e4250691) 105.194ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 1961bd29-e711-9481-83d4-6be373a6c034: 11231570: 1266) 105.176ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 03e0fc80-bec6-fca3-110a-2d85833df0b9: 17708797: 36) 146.572ms
[12603.277s][info][gc          ] Allocation Stall (consumer-13-C-1) 159.065ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: ad62631b-23d0-ba17-46c5-f6bed303041b: 17300834: 50) 218.725ms
[12603.277s][info][gc          ] Allocation Stall (kafka-producer-network-thread | producer-1) 148.464ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-1670) 170.266ms
[12603.279s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 27) 105.327ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 9268c583-a5c9-2e79-35d5-da4356057da6: 16466464: 514) 205.023ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 9032fe52-8cf6-0193-c560-776ca16ad641: 17135453: 1135) 136.340ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 341e5e7c-fe25-d959-4c35-057eea0f321d: 13724593: 391) 119.112ms
[12603.280s][info][gc          ] Allocation Stall (qtp579590740-1172) 105.469ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 887269fd-8c5e-9dd3-576a-59ba9dda5870: 16846177: 250) 105.429ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-11623) 149.454ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 52ee7c30-a8ce-df42-f54a-ae9aebd68ecc: 17394268: 18) 116.127ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 85ed4fc7-872a-8f26-6bce-c66dd6e78814: 17084684: 27) 198.766ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: cbced7a8-c620-9b04-9573-13ed2248a0ed: 17522176: 188) 105.208ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 1aebe170-1761-8e18-1964-600603dc2cb5: 17085636: 75) 104.558ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-7738) 246.031ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: de00808d-b963-c833-3ce7-340ff69c3216: 17265588: 6) 202.486ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: b172e4ac-9940-19ff-51e2-6a41130448f2: null: 2) 164.870ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 29bad68f-b4db-67a1-f11e-28d8b0de8612: 14801513: 779) 105.857ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 08d4c195-25b4-43ba-6547-a8d2a9535c90: null: 1) 105.936ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 3a6d90fc-39d2-d29f-4f1f-2976331a4bf0: 18094728: 74) 197.983ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-11598) 246.509ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 8e07e954-fb15-bb48-79b7-616c3094d324: 17815990: 43) 105.773ms
[12603.280s][info][gc          ] Allocation Stall (qtp579590740-4761) 106.345ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12602) 207.676ms
[12603.277s][info][gc          ] Allocation Stall (AsyncHttpClient-8-11) 138.934ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-10029) 155.718ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: d0b0cd12-ae08-bbc6-be30-a114dc88179b: 17988643: 140) 104.252ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: aec0987a-5a00-e6ba-e3c7-012a62aa31c6: 16343732: 73) 104.945ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: ad4a5f17-d990-a2c0-2cc0-0c6b2bd7fbd0: 17781976: 786) 115.110ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 30) 104.319ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: c08a59dc-0948-3c69-60a7-bea172c0d114: 17846342: 201) 106.544ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: c08a59dc-0948-3c69-60a7-bea172c0d114: 17846342: 202) 104.428ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-2699) 181.173ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-11614) 114.985ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 0e766612-af8a-1058-7817-41935b1c02bf: 16401871: 84ccbd2b-9288-4e5b-9977-0df0962609b8) 103.499ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 29) 103.534ms
[12603.281s][info][gc          ] Allocation Stall (qtp579590740-4358) 104.155ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: c4b7ce39-7dc8-3925-c1e5-0ab58b786c75: 15700574: 6d54be09-eaab-47a1-bfdf-4046fe64afac) 183.712ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 6630b3ef-4072-3215-6a90-c1140a4e5372: 16352822: 5) 111.108ms
[12603.278s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 109.581ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908: 210) 103.523ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: fa8a43ea-2482-af79-5392-4a7db0d1a600: 11219447: 52) 180.382ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 66386bcc-7d6d-4611-e213-8cdba05f2af1: 17533220: 26) 103.638ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 2ecb780d-9fc9-88b6-df73-ed7555207545: 17703783: 5a667cad-ea04-41e0-83fa-40b384d09768) 108.534ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 72d2debc-b956-8b98-e52b-a48f815db57c: 18096808: 79) 103.112ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 31) 103.206ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 66386bcc-7d6d-4611-e213-8cdba05f2af1: 17533220: 27) 103.946ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 876a9157-0b70-03e0-7947-71111ab8c636: 17328943: 42) 103.190ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: fae3e366-0385-89f2-a174-7433c828c049: 14190657: 39) 175.686ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-11240) 176.270ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12647) 170.658ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 0609a075-e654-6087-1612-af1a5daadf0c: 12732612: 660) 107.664ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: f6e1cec4-6277-8e10-cd22-acb151195fc4: 14826017: 99cd3964-950d-4899-be30-a80f42c2057a) 102.738ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: e1422ffd-3670-317f-efdf-33df6be9e5ca: 17319585: 35) 105.243ms
